  t (Gyr) =   0.0005
 M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mj     Mh     Mk
 M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mj     Mh     Mk
 0.015  2181.   -3.20  4.11  0.178    1.000  10.60   9.96   9.52  
 0.020  2306.   -3.12  4.26  0.173    1.000  10.35   9.79   9.40  
 0.030  2500.   -2.95  4.41  0.179    1.000  10.00   9.43   9.08  
 0.040  2655.   -2.76  4.45  0.198    1.000   9.53   8.98   8.65  
 0.050  2792.   -2.60  4.47  0.216    1.000   9.17   8.63   8.31  
 0.060  2874.   -2.48  4.48  0.233    1.000   8.92   8.37   8.06  
 0.070  2935.   -2.38  4.48  0.251    1.000   8.69   8.13   7.84  
 0.072  2946.   -2.36  4.48  0.255    1.000   8.65   8.09   7.80  
 0.075  2961.   -2.34  4.49  0.259    1.000   8.60   8.03   7.74  
 0.080  2985.   -2.30  4.48  0.268    1.000   8.49   7.93   7.64  
 0.090  3026.   -2.22  4.48  0.285    0.999   8.32   7.75   7.47  
 0.100  3061.   -2.16  4.49  0.297    0.998   8.19   7.61   7.34  
 0.200  3276.   -1.73  4.48  0.428    0.346   7.18   6.58   6.33  
 0.300  3410.   -1.48  4.47  0.525    0.000   6.61   5.98   5.74  
 0.400  3507.   -1.31  4.48  0.603    0.000   6.23   5.59   5.35  
 0.500  3604.   -1.18  4.49  0.668    0.000   5.93   5.27   5.04  
 0.600  3731.   -1.04  4.49  0.731    0.000   5.63   4.94   4.73  
 0.700  3916.   -0.88  4.48  0.795    0.000   5.30   4.59   4.40  
 0.800  4186.   -0.69  4.47  0.865    0.006   4.91   4.20   4.05  
 0.900  4601.   -0.45  4.44  0.946    0.084   4.42   3.82   3.70  
 1.000  5147.   -0.15  4.38  1.064    0.307   3.84   3.40   3.30  
 1.100  5796.    0.18  4.30  1.230    0.575   3.22   2.91   2.84  
 1.200  6102.    0.22  4.38  1.165    0.770   3.22   2.95   2.89  
 1.300  6271.    0.35  4.33  1.286    0.880   2.94   2.70   2.64  
 1.400  6622.    0.55  4.27  1.443    0.938   2.57   2.38   2.33  



  t (Gyr) =   0.0300
 M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mj     Mh     Mk
 0.015  2139.   -3.26  4.14  0.173    1.000  10.75  10.09   9.65  
 0.020  2184.   -3.29  4.33  0.160    1.000  10.84  10.19   9.76  
 0.030  2448.   -3.05  4.46  0.168    1.000  10.19   9.64   9.28  
 0.040  2632.   -2.83  4.50  0.186    1.000   9.69   9.14   8.81  
 0.050  2755.   -2.68  4.53  0.202    1.000   9.36   8.80   8.49  
 0.060  2860.   -2.55  4.53  0.219    1.000   9.07   8.52   8.21  
 0.070  2925.   -2.45  4.54  0.235    1.000   8.85   8.29   8.00  
 0.072  2936.   -2.43  4.54  0.238    1.000   8.81   8.25   7.96  
 0.075  2952.   -2.40  4.54  0.243    1.000   8.74   8.18   7.89  
 0.080  2977.   -2.36  4.54  0.251    0.999   8.65   8.08   7.80  
 0.090  3020.   -2.28  4.54  0.266    0.997   8.47   7.90   7.62  
 0.100  3056.   -2.22  4.55  0.279    0.990   8.33   7.76   7.48  
 0.200  3279.   -1.78  4.53  0.401    0.008   7.32   6.72   6.47  
 0.300  3413.   -1.54  4.53  0.492    0.000   6.75   6.13   5.89  
 0.400  3508.   -1.36  4.53  0.568    0.000   6.36   5.72   5.49  
 0.500  3602.   -1.23  4.54  0.632    0.000   6.05   5.40   5.17  
 0.600  3739.   -1.08  4.53  0.697    0.000   5.73   5.04   4.83  
 0.700  3960.   -0.90  4.52  0.764    0.000   5.35   4.64   4.46  
 0.800  4320.   -0.66  4.49  0.840    0.005   4.87   4.19   4.05  
 0.900  4848.   -0.37  4.45  0.933    0.083   4.30   3.77   3.67  
 1.000  5520.   -0.03  4.39  1.061    0.307   3.66   3.30   3.22  
 1.100  5897.    0.07  4.43  1.053    0.575   3.51   3.22   3.15  
 1.200  6052.    0.19  4.40  1.142    0.770   3.28   3.01   2.94  
 1.300  6335.    0.38  4.33  1.297    0.880   2.90   2.67   2.61  
 1.400  6743.    0.56  4.28  1.411    0.938   2.58   2.41   2.35  



  t (Gyr) =   0.0400
 M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mj     Mh     Mk
 0.015  1996.   -3.45  4.21  0.159    1.000  11.27  10.53  10.03  
 0.020  2005.   -3.52  4.41  0.146    1.000  11.41  10.68  10.21  
 0.030  2366.   -3.18  4.54  0.154    1.000  10.53   9.94   9.58  
 0.040  2581.   -2.95  4.59  0.168    1.000   9.99   9.44   9.10  
 0.050  2699.   -2.80  4.61  0.184    1.000   9.62   9.06   8.74  
 0.060  2830.   -2.65  4.62  0.198    1.000   9.33   8.77   8.47  
 0.070  2904.   -2.55  4.63  0.213    0.999   9.09   8.53   8.23  
 0.072  2916.   -2.53  4.63  0.216    0.998   9.05   8.48   8.19  
 0.075  2933.   -2.50  4.63  0.219    0.996   8.99   8.42   8.13  
 0.080  2961.   -2.45  4.63  0.227    0.993   8.88   8.31   8.03  
 0.090  3007.   -2.38  4.63  0.241    0.973   8.70   8.13   7.85  
 0.100  3046.   -2.31  4.63  0.252    0.906   8.56   7.99   7.71  
 0.200  3280.   -1.87  4.62  0.363    0.000   7.54   6.94   6.69  
 0.300  3410.   -1.62  4.61  0.447    0.000   6.97   6.35   6.10  
 0.400  3509.   -1.44  4.61  0.518    0.000   6.56   5.93   5.69  
 0.500  3606.   -1.29  4.60  0.585    0.000   6.22   5.57   5.34  
 0.600  3771.   -1.12  4.59  0.653    0.000   5.85   5.17   4.96  
 0.700  4084.   -0.88  4.56  0.729    0.000   5.35   4.64   4.48  
 0.800  4645.   -0.57  4.52  0.812    0.005   4.72   4.14   4.02  
 0.900  5301.   -0.25  4.48  0.899    0.083   4.13   3.72   3.63  
 1.000  5570.   -0.15  4.52  0.907    0.307   3.98   3.62   3.55  
 1.100  5822.    0.02  4.47  1.014    0.575   3.63   3.32   3.25  
 1.200  6090.    0.21  4.39  1.154    0.770   3.24   2.98   2.91  
 1.300  6413.    0.40  4.33  1.298    0.880   2.87   2.65   2.59  
